MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/NkwyDW,,[],NkwyDW
https://marketplace.sshopencloud.eu/tool-or-service/Mw5JKV,503.0,['http://www.digitalfootprints.dk/'],Mw5JKV
https://marketplace.sshopencloud.eu/tool-or-service/B7PxQl,408.0,['https://dhcr.clarin-dariah.eu/'],B7PxQl
https://marketplace.sshopencloud.eu/tool-or-service/7y3thM,,[],7y3thM
https://marketplace.sshopencloud.eu/tool-or-service/gFlskI,,[],gFlskI
https://marketplace.sshopencloud.eu/tool-or-service/cwBrHn,404.0,['https://ddmal.github.io/diva.js/'],cwBrHn
https://marketplace.sshopencloud.eu/tool-or-service/YvytnF,,[],YvytnF
https://marketplace.sshopencloud.eu/tool-or-service/5uaqbO,503.0,['https://ckc.uw.edu.pl'],5uaqbO
https://marketplace.sshopencloud.eu/tool-or-service/yESLGG,,[],yESLGG
https://marketplace.sshopencloud.eu/tool-or-service/W6bBPJ,,[],W6bBPJ
https://marketplace.sshopencloud.eu/tool-or-service/UAGfsc,503.0,['https://duraspace.org/dspace/'],UAGfsc
https://marketplace.sshopencloud.eu/tool-or-service/sEMzL0,,[],sEMzL0
https://marketplace.sshopencloud.eu/tool-or-service/rlSTxc,,[],rlSTxc
https://marketplace.sshopencloud.eu/tool-or-service/25XC9q,,[],25XC9q
https://marketplace.sshopencloud.eu/tool-or-service/m7w2Cb,408.0,['http://editflow.org/'],m7w2Cb
https://marketplace.sshopencloud.eu/tool-or-service/T5NFL5,408.0,['http://www.editgrid.com/'],T5NFL5
https://marketplace.sshopencloud.eu/tool-or-service/mURqNh,503.0,['http://evt.labcd.unipi.it/'],mURqNh
https://marketplace.sshopencloud.eu/tool-or-service/raCHUH,408.0,['http://editorsnotes.org/'],raCHUH
https://marketplace.sshopencloud.eu/tool-or-service/76bU1U,408.0,['http://eceg.iatext.ulpgc.es/'],76bU1U
https://marketplace.sshopencloud.eu/tool-or-service/69ODFp,503.0,['https://sshoc.poolparty.biz/GraphSearch/'],69ODFp
https://marketplace.sshopencloud.eu/tool-or-service/UPhpBN,503.0,['https://elinker.lab.dariah.pl'],UPhpBN
https://marketplace.sshopencloud.eu/tool-or-service/hEd37C,,[],hEd37C
https://marketplace.sshopencloud.eu/tool-or-service/ce5R1L,408.0,['http://oak.conncoll.edu/cohar/Programs.htm'],ce5R1L
https://marketplace.sshopencloud.eu/tool-or-service/peaoyT,503.0,['https://emt.ehri-project.eu'],peaoyT
https://marketplace.sshopencloud.eu/tool-or-service/TYT1X9,,[],TYT1X9
https://marketplace.sshopencloud.eu/tool-or-service/tCRenC,,[],tCRenC
https://marketplace.sshopencloud.eu/tool-or-service/CoBCWT,404.0,['https://www.e-periodica.ch/digbib/about1?lang=en'],CoBCWT
https://marketplace.sshopencloud.eu/tool-or-service/9McIgG,,[],9McIgG
https://marketplace.sshopencloud.eu/tool-or-service/2GB3v5,,[],2GB3v5
https://marketplace.sshopencloud.eu/tool-or-service/FHO9mF,503.0,['http://erissolver.thomas-specq.work/about.html'],FHO9mF
https://marketplace.sshopencloud.eu/tool-or-service/iXnQWa,403.0,['https://tulengua.iatext.ulpgc.es/estilometria/'],iXnQWa
https://marketplace.sshopencloud.eu/tool-or-service/fy7ZXa,404.0,['http://www.eki.ee/keeletehnoloogia/projektid/estmorf/'],fy7ZXa
https://marketplace.sshopencloud.eu/tool-or-service/1z5mBU,404.0,['https://estnltk.github.io/estnltk/1.4.1/'],1z5mBU
https://marketplace.sshopencloud.eu/tool-or-service/zXt3sc,408.0,['https://tip.iatext.ulpgc.es/EtiquetadorWeb/Login'],zXt3sc
https://marketplace.sshopencloud.eu/tool-or-service/suHIkV,,[],suHIkV
https://marketplace.sshopencloud.eu/tool-or-service/TDYZMW,,[],TDYZMW
